Merchant Name,Merchant ID,Store Name,Store ID,Updated On,Created On,Type,Category,Subcategory,Status,Transaction ID,Linked Transaction ID,Partner transaction ID 1,Partner transaction ID 2,Long Order ID,Short Order ID,Booking ID,Order Channel,Order Type,Payment Method,Receiving account / Source of fund,Terminal ID,Channel,Offer Type,Grab Fee (%),Points Multiplier,Points Issued,Settlement ID,Transfer Date,Amount,Tax on Order Value,Restaurant Packaging Charge,Non-Member Fee,Restaurant Service Charge,Offer,Discount (Merchant-Funded),Delivery Fee Discount (Merchant-Funded),Delivery Charge (Grab Online Store),Delivery Charge (Merchant Delivery),GrabExpress Delivery Service Fee,Net Sales,Net MDR,Tax on MDR,Grab Fee,Marketing success fee,Delivery Commission,Channel Commission,Order commission,Step-up commission,GrabKitchen Commission,GrabKitchen Other Commission,Withholding Tax,Total,Tax on MDR (%),Delivery Commission (%),Channel Commission (%),Order Commission (%),"Tax on GrabFood/GrabMart commission, adjustments, ads",Tax on Total GrabKitchen Commission,Cancellation Reason,Cancelled by,Reason for Refund,Description,Incident group,Incident alias,Customer refund Item,Appeal link,Appeal status
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,28 Jul 2026 8:56 PM,28 Jul 2026 8:07 PM,GrabFood,Payment ,,Transferred,35034661338,,,,00135675082-C8CVJTDXLP2TFA,GF-403,A-9LXUCAQGWJ86AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDP0LQEEYWI,29 Jul 2026 3:13 AM,39000,0,0,,0,,0,0,,0,0,39000,,,,0,,,-7800,0,0,0,0,31200,,,,,-772.97,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,28 Jul 2026 8:08 PM,28 Jul 2026 7:39 PM,GrabFood,Payment ,,Transferred,35033818559,,,,001577617880-C8CVJJ33LAABEE,GF-969,A-9LXRNK6GXXT6AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDP0LQEEYWI,29 Jul 2026 3:13 AM,78000,0,0,,0,,0,0,,0,0,78000,,,,0,,,-15600,0,0,0,0,62400,,,,,-1545.95,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,28 Jul 2026 7:52 PM,28 Jul 2026 7:27 PM,GrabFood,Payment ,,Transferred,35033498043,,,,00131716993-C8CVJFUGPFWXEA,GF-273,A-9LXQLBEGW5NBAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDP0LQEEYWI,29 Jul 2026 3:13 AM,137000,0,0,,0,,0,0,,0,0,137000,,,,0,,,-27400,0,0,0,0,109600,,,,,-2715.32,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,28 Jul 2026 5:55 PM,28 Jul 2026 5:39 PM,GrabFood,Payment ,,Transferred,35030954896,,,,001575843791-C8CVGXNAWBTCRX,GF-927,A-9LXGQ2LGWWLVAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDP0LQEEYWI,29 Jul 2026 3:13 AM,39000,0,0,,0,,0,0,,0,0,39000,,,,0,,,-7800,0,0,0,0,31200,,,,,-772.97,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,28 Jul 2026 3:46 PM,28 Jul 2026 3:25 PM,GrabFood,Payment ,,Transferred,35028504298,,,,00114416896-C8CVE6K3L4KDNN,GF-112,A-9LX4HDTWWQD8AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDP0LQEEYWI,29 Jul 2026 3:13 AM,84000,0,0,,0,,0,0,,0,0,84000,,,,0,,,-16800,0,0,0,0,67200,,,,,-1664.86,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,28 Jul 2026 1:37 PM,28 Jul 2026 1:35 PM,GrabFood,,,Cancelled,,,,,00128121039-C8CVEBLJME61VE,GF-788,A-9LWQFJGGX2THAV,,Not Paid,Cashless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Kami tutup sekarang,Merchant,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,27 Jul 2026 7:43 PM,27 Jul 2026 7:24 PM,GrabFood,Payment ,,Transferred,35014924748,,,,00145208204-C8CULXE1V4NTE6,GF-285,A-9KTMJOTGWXB8AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDOVHWLVEVU,28 Jul 2026 3:11 AM,62000,0,0,,0,,0,0,,0,0,62000,,,,0,,,-12400,0,0,0,0,49600,,,,,-1228.83,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,27 Jul 2026 6:37 PM,27 Jul 2026 6:22 PM,GrabFood,Payment ,,Transferred,35013542289,,,,001168078741-C8CULE4VTJWHJX,GF-942,A-9KTGST4GWW78AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDOVHWLVEVU,28 Jul 2026 3:11 AM,78000,0,0,,0,,0,0,,0,0,78000,,,,0,,,-15600,0,0,0,0,62400,,,,,-1545.95,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,27 Jul 2026 6:16 PM,27 Jul 2026 5:55 PM,GrabFood,Payment ,,Transferred,35013091195,,,,001186336459-C8CUKF2YWBK3MA,GF-583,A-9KTEDGSWWVV7AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDOVHWLVEVU,28 Jul 2026 3:11 AM,150000,0,0,,0,,0,0,,0,0,150000,,,,0,,,-30000,0,0,0,0,120000,,,,,-990.99,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,27 Jul 2026 4:56 PM,27 Jul 2026 4:15 PM,GrabFood,Payment ,,Transferred,35011557403,,,,001331444716-C8CUJP3JLTEWRA,GF-214,A-9KT58K6WWJEMAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDOVHWLVEVU,28 Jul 2026 3:11 AM,78000,0,0,,0,,0,0,,0,0,78000,,,,0,,,-15600,0,0,0,0,62400,,,,,-1545.95,0,,,,,,,,,
