line,produk,cogs_per_unit,harga_jual,profit_per_piece,margin_pct,bahan_card,bahan_db,match,is_material,harga_beli,isi_kemasan_qty,isi_kemasan_unit,dipakai_qty,dipakai_unit,subtotal
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Ayam marinasi,AYAM,existing,true,47800,1000,gram,100,gram,4780
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Kulit 25cm,KULIT 25,existing,true,27000,20,lembar,1,lembar,1350
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Saos cabe/tomat,SAOS CABE,new,true,15000,1000,gram,50,gram,750
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Mayo,MAYONES,existing,true,22000,1000,gram,50,gram,1100
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Tum,TUM,existing,true,100000,1000,gram,5,gram,500
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Minyak,MINYAK SAYUR,existing,true,23000,1000,gram,25,gram,575
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Kentang goreng,KENTANG,existing,true,24000,1000,gram,65,gram,1560
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Kertas wrap,PAPER WRAP,existing,true,160,1,lembar,1,lembar,160
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Plastik,PLASTIK MERAH,existing,true,200,1,lembar,1,lembar,200
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Isi gas melon,GAS 3Kg,existing,true,23000,3000,gram,45,gram,345
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Foil,FOIL,existing,true,11800,750,cm,35,cm,551
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Lettuce,LETTUCE,existing,true,28000,1000,gram,60,gram,1680
ORI AYAM,Shawarma Ayam Sedang,14051,23418,9367,40,Loss,,buffer,false,500,1,butir,1,butir,500
ORI AYAM,Shawarma Ayam Besar,16896,28638,11742,41,Ayam marinasi,AYAM,existing,true,47800,1000,gram,125,gram,5975
ORI AYAM,Shawarma Ayam Besar,16896,28638,11742,41,Kulit 28,KULIT 28,existing,true,32000,20,lembar,1,lembar,1600
ORI AYAM,Shawarma Ayam Besar,16896,28638,11742,41,Saos cabe tomat,SAOS CABE,new,true,15000,1000,gram,40,gram,600
ORI AYAM,Shawarma Ayam Besar,16896,28638,11742,41,Mayo,MAYONES,existing,true,22000,1000,gram,40,gram,880
ORI AYAM,Shawarma Ayam Besar,16896,28638,11742,41,Tum,TUM,existing,true,100000,1000,gram,10,gram,1000
ORI AYAM,Shawarma Ayam Besar,16896,28638,11742,41,Minyak,MINYAK SAYUR,existing,true,23000,1000,gram,25,gram,575
ORI AYAM,Shawarma Ayam Besar,16896,28638,11742,41,Kentang,KENTANG,existing,true,24000,1000,gram,88,gram,2112
