"Tanggal Opname","Nama Outlet","Petugas Penginput","Role Petugas","Waktu Input","Status Opname","Nama Bahan Baku","Kategori","Satuan Standar","Qty Fisik (Desimal)","Qty Fisik (Multi-Satuan)","Qty Sistem (Desimal)","Qty Sistem (Multi-Satuan)","Selisih (Desimal)","Selisih (Multi-Satuan)","Catatan"
"2026-07-31","SUKA SHAWARMA JATIASIH","Sayid","leader","31/7/2026, 00.13.32","finalized","AYAM","item core","Kg","21","21 Kg","24.272","24 Kg + 272 Gram","-3.272","-3 Kg + 272 Gram",""
"2026-07-31","SUKA SHAWARMA JATIASIH","Sayid","leader","31/7/2026, 00.13.32","finalized","BAWANG","bumbu","Bal","0.04755","951 Gram","0.04755","951 Gram","0","0 Bal",""
"2026-07-31","SUKA SHAWARMA JATIASIH","Sayid","leader","31/7/2026, 00.13.32","finalized","Cling Wrap","Lain-lain","Dus","0","0 Dus","0","0 Dus","0","0 Dus",""
"2026-07-31","SUKA SHAWARMA JATIASIH","Sayid","leader","31/7/2026, 00.13.32","finalized","CUP","kemasan","Pack","0","0 Pack","0","0 Pack","0","0 Pack",""
"2026-07-31","SUKA SHAWARMA JATIASIH","Sayid","leader","31/7/2026, 00.13.32","finalized","DUS PACKING","kemasan","Pack","0","0 Pack","0","0 Pack","0","0 Pack",""
"2026-07-31","SUKA SHAWARMA JATIASIH","Sayid","leader","31/7/2026, 00.13.32","finalized","ES BATU","minuman","Bal","0","0 Bal","0","0 Bal","0","0 Bal",""
"2026-07-31","SUKA SHAWARMA JATIASIH","Sayid","leader","31/7/2026, 00.13.32","finalized","FOIL","kemasan","Dus","2.650219298245614","2 Dus + 15.61 Roll","2.5416666666666665","2 Dus + 13 Roll","0.1085526315789475","+2.61 Roll",""
"2026-07-31","SUKA SHAWARMA JATIASIH","Sayid","leader","31/7/2026, 00.13.32","finalized","GAS 3Kg","item core","tabung","1.6666666666666667","1 tabung + 2000 gram","1","1 tabung","0.6666666666666667","+2000 gram",""
"2026-07-31","SUKA SHAWARMA JATIASIH","Sayid","leader","31/7/2026, 00.13.32","finalized","KEJU","item core","Dus","0.4625","11 Pack + 1 Lembar","0.4958333333333333","11 Pack + 9 Lembar","-0.0333333333333333","-8 Lembar",""
"2026-07-31","SUKA SHAWARMA JATIASIH","Sayid","leader","31/7/2026, 00.13.32","finalized","KENTANG","item core","Dus","3.06525","3 Dus + 652.5 Gram","6.875","6 Dus + 8 Kg + 750 Gram","-3.80975","-3 Dus + 8 Kg + 97.5 Gram",""
