Merchant Name,Merchant ID,Store Name,Store ID,Updated On,Created On,Type,Category,Subcategory,Status,Transaction ID,Linked Transaction ID,Partner transaction ID 1,Partner transaction ID 2,Long Order ID,Short Order ID,Booking ID,Order Channel,Order Type,Payment Method,Receiving account / Source of fund,Terminal ID,Channel,Offer Type,Grab Fee (%),Points Multiplier,Points Issued,Settlement ID,Transfer Date,Amount,Tax on Order Value,Restaurant Packaging Charge,Non-Member Fee,Restaurant Service Charge,Offer,Discount (Merchant-Funded),Delivery Fee Discount (Merchant-Funded),Delivery Charge (Grab Online Store),Delivery Charge (Merchant Delivery),GrabExpress Delivery Service Fee,Net Sales,Net MDR,Tax on MDR,Grab Fee,Marketing success fee,Delivery Commission,Channel Commission,Order commission,Step-up commission,GrabKitchen Commission,GrabKitchen Other Commission,Withholding Tax,Total,Tax on MDR (%),Delivery Commission (%),Channel Commission (%),Order Commission (%),"Tax on GrabFood/GrabMart commission, adjustments, ads",Tax on Total GrabKitchen Commission,Cancellation Reason,Cancelled by,Reason for Refund,Description,Incident group,Incident alias,Customer refund Item,Appeal link,Appeal status
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Ciseeng,bc5e056d-d36f-4721-a7e5-41837fa878e0,31 Jul 2026 8:15 PM,31 Jul 2026 7:47 PM,GrabFood,Payment ,,Transferred,35088764614,,,,00174503660-C8CYAJBFDAK2CX,GF-087,A-9LE8NSAGXXU6AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SID6A7EPVTCQ,1 Aug 2026 2:34 AM,78000,0,0,,0,,-24648,0,,0,0,53352,,,,0,,,-10670.4,0,0,0,0,42681.6,,,,,-408.13,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Ciseeng,bc5e056d-d36f-4721-a7e5-41837fa878e0,31 Jul 2026 6:38 PM,31 Jul 2026 5:50 PM,GrabFood,Payment ,,Transferred,35086631812,,,,001200048258-C8CXVXA1CF3DGT,GF-392,A-9LDT9CJWXCAIAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SID6A7EPVTCQ,1 Aug 2026 2:34 AM,51000,0,0,,0,,-16116,0,,0,0,34884,,,,0,,,-6976.8,0,0,0,0,27907.2,,,,,-266.85,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kitchen Mulyaharja,e03fe031-ee78-45de-aa25-77648d1a74dd,31 Jul 2026 8:49 PM,31 Jul 2026 7:49 PM,GrabFood,Payment ,,Transferred,35089418330,,,,00176852917-C8CYAJMHL6WVGT,GF-562,A-9LE86H6GXXB6AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDKCAKRWJPA,1 Aug 2026 2:13 AM,120000,0,0,,0,,-47400,0,,0,0,72600,,,,0,,,-14520,0,0,0,0,58080,,,,,-190.27,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kitchen Mulyaharja,e03fe031-ee78-45de-aa25-77648d1a74dd,31 Jul 2026 4:32 PM,31 Jul 2026 3:55 PM,GrabFood,Payment ,,Transferred,35084120697,,,,001993693400-C8CXUALETK2ZNX,GF-386,A-9LDIPQKGXC7VAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDKCAKRWJPA,1 Aug 2026 2:13 AM,66000,0,0,,0,,-20856,0,,0,0,45144,,,,0,,,-9028.8,0,0,0,0,36115.2,,,,,-345.34,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Pajajaran,97a77a46-3fbc-4a25-9c84-ba0a1ed05b9a,31 Jul 2026 7:14 PM,31 Jul 2026 6:52 PM,GrabFood,Payment ,,Transferred,35087441182,,,,001483502257-C8CXWB3UBFCXCE,GF-313,A-9LE2UNLWWPDBAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDUKQSURPJE,1 Aug 2026 2:54 AM,103000,0,0,,0,,-40685,0,,0,0,62315,,,,0,,,-12463,0,0,0,0,49852,,,,,-163.32,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Pajajaran,97a77a46-3fbc-4a25-9c84-ba0a1ed05b9a,31 Jul 2026 6:59 PM,31 Jul 2026 6:18 PM,GrabFood,Payment ,,Transferred,35087109209,,,,00179294329-C8CXV322VU2ZRJ,GF-731,A-9LDVSFLGX4IJAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDUKQSURPJE,1 Aug 2026 2:54 AM,91000,0,0,,0,,-28756,0,,0,0,62244,,,,0,,,-12448.8,0,0,0,0,49795.2,,,,,-476.15,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Pajajaran,97a77a46-3fbc-4a25-9c84-ba0a1ed05b9a,31 Jul 2026 6:35 PM,31 Jul 2026 6:15 PM,GrabFood,Payment ,,Transferred,35086555180,,,,001401919434-C8CXV3LYSEWHAE,GF-495,A-9LDVKGOGXD44AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDUKQSURPJE,1 Aug 2026 2:54 AM,58000,0,0,,0,,-18328,0,,0,0,39672,,,,0,,,-7934.4,0,0,0,0,31737.6,,,,,-303.48,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,31 Jul 2026 7:57 PM,31 Jul 2026 7:06 PM,GrabFood,Payment ,,Transferred,35088398220,,,,001969538420-C8CXWFN1VTKFGX,GF-081,A-9LE4922GW5KCAV,GrabFood app & web,Auto-Paid,Cash,,,,,,,,SIDGMSFKWV3W,1 Aug 2026 3:12 AM,41000,0,0,,0,,0,0,,0,0,41000,,,,0,,,-8200,0,0,0,0,32800,,,,,-812.61,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,31 Jul 2026 6:48 PM,31 Jul 2026 6:18 PM,GrabFood,Payment ,,Transferred,35086858731,,,,001162555400-C8CXV3X2A221GA,GF-178,A-9LDVRF2GWSBBAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDGMSFKWV3W,1 Aug 2026 3:12 AM,187000,0,0,,0,,0,0,,0,0,187000,,,,0,,,-37400,0,0,0,0,149600,,,,,-2219.82,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,31 Jul 2026 6:12 PM,31 Jul 2026 5:36 PM,GrabFood,Payment ,,Transferred,35086048776,,,,00125490098-C8CXVTTKG2VATJ,GF-016,A-9LDSXUEGWPDBAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDGMSFKWV3W,1 Aug 2026 3:12 AM,113000,0,0,,0,,0,0,,0,0,113000,,,,0,,,-22600,0,0,0,0,90400,,,,,-753.15,0,,,,,,,,,
