OPEX REPORT,,,,,
,,,,,
NO,TANGGAL,URAIAN,PEMASUKAN,PENGELUARAN,NOTE
1,02/07/2026,Kas Masuk,"8,333",,ADMIN
2,02/07/2026,Bensin + Etoll,,"8,333",OUTLET
3,,,,,
4,01/07/2026,Gas 2 tabung,,"46,000",BB
5,01/07/2026,Indomie,,"17,500",BB
6,01/07/2026,Lalamove,,"Rp57,000.00",OUTLET
7,01/07/2026,Jasa pasang banner,,"75,000",OUTLET
8,01/07/2026,Transport bahan baku,,"15,000",OUTLET
7,01/07/2026,Kas Masuk,"500,000",,CASH IN
8,,,,,
9,02/07/2026,Tissue,,"40,000",OUTLET
10,02/07/2026,Sabun pel,,"Rp10,000.00",OUTLET
11,02/07/2026,Sabun cuci,,"10,000",OUTLET
12,02/07/2026,Kopi 2 renceng,,"34,000",OUTLET
13,,,,,
14,03/07/2026,Gas 5 tabung,,"115,000",BB
15,03/07/2026,Lembur crew,,"100,000",OVERTIME
16,03/07/2026,Kas Masuk,"17,429",,ADMIN
17,03/07/2026,Bensin + Etoll,,"17,429",OUTLET
18,,,,,
19,04/07/2026,Token Listrik,,"105,000",UTILITIES
20,04/07/2026,Freelance Hasan,,"100,000",OUTLET
21,04/07/2026,Plastik,,"16,000",BB
22,04/07/2026,Kas Masuk,"500,000",,
23,,,,,
24,05/07/2026,Ikat plastik,,"35,000",BB
23,05/07/2026,Transport bahan baku plastik,,"10,000",OUTLET
24,05/07/2026,Freelance hasan,,"100,000",OUTLET
25,,,,,
26,06/07/2026,Kas Masuk,"8,944",,ADMIN
27,06/07/2026,Bensin + Etoll,,"8,944",OUTLET
28,06/07/2026,Lembur crew,,"70,000",OVERTIME
29,06/07/2026,Lalamove,,"30,000",OUTLET
30,06/07/2026,Gas 5 tabung,,"Rp115,000.00",BB
31,06/07/2026,Air minum,,"13,000",OUTLET
32,06/07/2026,Lembur training,,"50,000",OVERTIME
33,,,,,
34,07/07/2026,Plastik,,"40,000",BB
35,07/07/2026,Sabun cuci piring,,"10,000",OUTLET
36,07/07/2026,Tissue,,"50,000",OUTLET
37,07/07/2026,Kawat cuci,,"5,000",OUTLET
38,,,,,
39,10/07/2026,Kas Masuk,"21,000",,ADMIN
40,10/07/2026,Bensin + Etoll,,"21,000",OUTLET
41,,,,,
42,08/07/2026,Indomie,,"17,500",BB
43,08/07/2026,Lembur crew + Transport ,,"65,000",OVERTIME
44,08/07/2026,Bensin dapur,,"12,000",OUTLET
45,08/07/2026,Transport bahan baku,,"15,000",OUTLET
46,08/07/2026,Gas 4 tabung,,"92,000",BB
47,08/07/2026,Lalamove,,"47,000",OUTLET
48,08/07/2026,Kas Masuk,"500,000",,CASH IN
49,08/07/2026,Lembur Omset,,"100,000",OVERTIME
50,08/07/2026,Lembur Omset,,"100,000",OVERTIME
51,,,,,
52,11/07/2026,Lalamove,,"50,000",OUTLET
53,11/07/2026,Indomie,,"17,500",BB
54,11/07/2026,Sabun pel lantai,,"10,000",OUTLET
55,11/07/2026,Kas Masuk,"500,000",,CASH IN
56,,,,,
57,12/07/2026,Sabun cuci,,"10,000",OUTLET
58,12/07/2026,Tissue,,"55,000",OUTLET
59,12/07/2026,Es batu,,"25,000",OUTLET
60,12/07/2026,Gas 1 tabung,,"23,000",BB
61,,,,,
62,13/07/2026,Gas 7 tabung,,"161,000",BB
63,13/07/2026,Indomie,,"17,500",BB
64,13/07/2026,Uang makan training cicurug,,RAB,OUTLET
65,13/07/2026,Kas Masuk,"500,000",,CASH IN
66,,,,,
67,14/07/2026,Indomie,,"17,500",BB
68,14/07/2026,Plastik,,"70,000",BB
69,14/07/2026,Bensin,,"10,000",OUTLET
70,14/07/2026,Driver salah order,,"13,000",OUTLET
71,,,,,
72,15/07/2026,Gas 4 tabung,,"92,000",BB
73,15/07/2026,Air galon,,"19,000",OUTLET
74,15/07/2026,Token Listrik,,"105,000",UTILITIES
75,,,,,
76,16/07/2026,Kas Masuk,"19,737",,ADMIN
77,16/07/2026,Print ,,"19,737",OUTLET
78,,,,,
79,17/07/2026,Uang makan driver,,"15,000",OUTLET
80,17/07/2026,Transport bahan baku,,"15,000",OUTLET
81,17/07/2026,Meeting lembur,,"50,000",OVERTIME
82,17/07/2026,Tissue,,"55,000",OUTLET
83,17/07/2026,Sabun pel lantai,,"10,000",OUTLET
84,,,,,
85,18/07/2026,Gas 4 tabung,,"92,000",BB
86,18/07/2026,Tuker receh admin,,"5,000",OUTLET
87,,,,,
88,21/07/2026,Lemburan meeting 3 orang,,"150,000",OVERTIME
89,21/07/2026,Gas 4 tabung,,"Rp92,000.00",BB
90,,,,,
91,22/07/2026,Kas masuk,"500,000",,ADMIN
92,22/07/2026,Sabun cuci piring,,"10,000",OUTLET
93,22/07/2026,Sabun pembersih lantai,,"10,000",OUTLET
94,22/07/2026,Tissu 5 pcs,,"55,000",OUTLET
95,22/07/2026,Kopi 2 renceng,,"34,000",OUTLET
96,,,,,
97,24/07/2026,Gas 4 tabung,,"92,000",BB
98,24/07/2026,Lalamove,,"27,000",OUTLET
99,24/07/2026,Solatip 3,,"11,000",OUTLET
100,24/07/2026,Plastik 2,,"8,000",BB
101,24/07/2026,Iuran keamanan dan kebersihan,,"200,000",OUTLET
102,24/07/2026,Indomie 5 ,,"14,500",BB
103,,,,,
104,25/07/2026,Trasnport bahan baku,,"15,000",OUTLET
105,25/07/2026,Plastik polly bag ,,"30,000",BB
106,25/07/2026,Air minum,,"13,000",OUTLET
107,,,,,
108,26/07/2026,Kas masuk,"500,000",,CASH IN
109,26/07/2026,Trasnport bahan baku,,"15,000",OUTLET
110,26/07/2026,Lalamove kunci,,"20,000",OUTLET
111,26/07/2026,Plastik 5,,"40,000",BB
112,26/07/2026,Indomie 5,,"17,500",BB
113,,,,,
114,27/07/2026,Kas masuk,"500,000",,CASH IN
115,27/07/2026,Indihome,,"438,500",UTILITIES
116,27/07/2026,Token listrik,,"105,000",UTILITIES
117,27/07/2026,Lemburan meeting 3 orang,,"150,000",OVERTIME
118,27/07/2026,Indomie 5 ,,"14,500",BB
119,,,,,
120,28/07/2026,Gas 3 tabung,,"69,000",BB
121,28/07/2026,Tissu 5,,"50,000",OUTLET
122,28/07/2026,Kantong Plastik 8,,"40,000",BB
123,,,,,
124,30/07/2026,Gas 4 tabung ,,"92,000",BB
125,,Transport Bahan Baku ,,"10,000",OUTLET
126,,Pembersih lantai,,"10,000",OUTLET
127,,,,,
128,31/07/2026,Kas Masuk ,"600,000",,ADMIN
129,,Mie Goreng 5,,"16,500",OUTLET
130,,Kuota 6 Gb 1 hari,,"10,000",OUTLET
131,,Transport HB Bahsin,,"15,000",OUTLET
